id,ja_name,scientific_name,family,genus,leaf_persistence,leaf_type,leaf_complexity,leaf_arrangement,leaf_margin,serration,source_note,reference_page,review_status,review_confidence,needs_review_reason,family_ja_raw,family_latin_raw,genus_ja_raw,genus_latin_raw,leaf_type_raw,leaf_complexity_raw,leaf_arrangement_raw,leaf_margin_raw,serration_raw,trait_label_terms_raw,trait_terms_raw
trait-candidate-0011,シラビソ,,マツ科,Abies,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,54,needs_review,high,genus_latin_corrected_by_rule;scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Ables,針状葉,,はね状,,,針状葉 はね状;針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0012,オオシラビソ,,マツ科,Abies,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,55,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,"針状葉;""はね状;常緑樹",常緑;針状葉;はね状
trait-candidate-0013,モミ,,マツ科,Abies,,針葉樹,単葉,,,,入力支援候補。公開前に要確認,56,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,針状葉 はね状;針状葉;はね状,針状葉;はね状
trait-candidate-0014,ウラジロモミ,,マツ科,Abies,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,57,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,モミ属,Abies,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0015,ツガ,,マツ科,Tsuga,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,58,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,ツガ属,Tsuga,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0016,コメツガ,,マツ科,Tsuga/Pseudotsuga,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,59,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,ツガ属,Tsuga/Pseudotsuga,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;針葉;はね状
trait-candidate-0017,トウヒ,,マツ科,Picea,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,60,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0018,アカエゾマツ,,マツ科,Picea,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,61,needs_review,high,genus_latin_corrected_by_rule;scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Piceacea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0019,ハリモミ,,マツ科,Picea,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,62,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;針葉;はね状
trait-candidate-0020,ヒメバラモミ,,マツ科,Picea,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,63,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,"針状葉;""はね状;常緑樹",常緑;針状葉;はね状
trait-candidate-0021,ドイツトウヒ,,マツ科,Picea,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,64|54,needs_review,high,scientific_name_excluded_from_public_candidate,マツ科,Pinaceae,トウヒ属,Picea,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0022,ナギ,,マキ科,Nageia,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,65,needs_review,high,scientific_name_excluded_from_public_candidate,マキ科,Podocarpaceae,ナギ属,Nageia,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;針葉;広葉;不分裂葉;分裂葉;対生
trait-candidate-0023,イヌマキ,,マキ科,Podocarpus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,66,needs_review,high,scientific_name_excluded_from_public_candidate,マキ科,Podocarpaceae,イヌマキ属,Podocarpus,針状葉,,束状,,,針状葉 束状;針状葉;束状;常緑樹,常緑;針状葉;針葉;束状
trait-candidate-0024,コウヤマキ,,コウヤマキ科,Sciadopitys,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,67,needs_review,high,scientific_name_excluded_from_public_candidate,コウヤマキ科,Sciadopityaceae,コウヤマキ属,Sciadopitys,針状葉,,束状,,,針状葉;束状;常緑樹,常緑;針状葉;束生;束状
trait-candidate-0025,ヒノキ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,68,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉;対生
trait-candidate-0026,チャボヒバ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,69,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
trait-candidate-0027,サワラ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,70,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
trait-candidate-0028,オウゴンヒヨクヒバ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,71,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,針状葉;鱗状葉,,,,,鱗状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
trait-candidate-0029,クロベ,,ヒノキ科,Thuja,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,72,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,クロベ属,Thuja,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
trait-candidate-0030,ニオイヒバ,,ヒノキ科,Thuja,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,7|73,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,クロベ属,Thuja,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
trait-candidate-0031,コノテガシワ,,ヒノキ科,Platycladus,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,74,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,コノテガシワ属,Platycladus,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
trait-candidate-0032,アスナロ,,ヒノキ科,Thujopsis/Cupressocyparis,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,75,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,アスナロ属,Thujopsis/Cupressocyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
trait-candidate-0033,ホソイトスギ,,ヒノキ科,Cupressus,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,76,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,イトスギ属,Cupressus,針状葉,,,,,鯛状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
trait-candidate-0034,モントレーイトスギ,,ヒノキ科,Cupressus/Juniperus,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,77,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,イトスギ属,Cupressus/Juniperus,針状葉;鱗状葉,,,,,鱗状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
trait-candidate-0035,ビャクシン,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,78,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ビャクシン属,Juniperus,針状葉,,,,,鯛状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉;対生;輪生
trait-candidate-0036,カイヅカイブキ,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,79,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉;鱗状葉,,,,,鱗状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
trait-candidate-0037,ハイネズ,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,80,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉,,束状,,,針状葉;束状;常緑樹,常緑;針状葉;対生;輪生;束状
trait-candidate-0038,ニイタカビャクシン,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,81,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉,,束状,,,針状葉;束状;常緑樹,常緑;針状葉;輪生;束状
trait-candidate-0039,ネズミサシ,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,82,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉,,束状,,,針状葉 束状;針状葉;束状;常緑樹,常緑;針状葉;針葉;輪生;束状
trait-candidate-0040,スギ,,ヒノキ科,Cryptomeria,常緑,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,83,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,スギ属,Cryptomeria,針状葉,,束状,,,針状葉;針状葉束状;束状;常緑樹,常緑;針状葉;束状
trait-candidate-0041,センペルセコイア,,ヒノキ科,Sequoia/Cunninghamia,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,84,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,セコイア属,Sequoia/Cunninghamia,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;広葉;互生;はね状;鋸歯
trait-candidate-0042,メタセコイア,,ヒノキ科,Metasequoia,落葉,針葉樹,単葉,,,,入力支援候補。公開前に要確認,85,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,メタセコイア属,Metasequoia,針状葉,,はね状,,,針状葉;はね状;落葉樹,落葉;針状葉;針葉;互生;対生;はね状
trait-candidate-0043,ラクウショウ,,ヒノキ科,Taxodium,落葉,針葉樹,単葉,,,,入力支援候補。公開前に要確認,86,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ラクウショウ属,Taxodium,針状葉,,はね状,,,針状葉;はね状;落葉樹,落葉;針状葉;互生;はね状
trait-candidate-0044,スイショウ,,イチイ科,Glyptostrobus/Taxaceae,,針葉樹,単葉,束生,,,入力支援候補。公開前に要確認,87,needs_review,high,scientific_name_to_be_filled_later,イチイ科,Taxaceae,スイショウ属,Glyptostrobus/Taxaceae,針状葉,,束状,,,針状葉;束状,針状葉;鱗状葉;互生;束状;はね状
trait-candidate-0045,イヌガヤ,,イチイ科,Cephalotaxus,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,88,needs_review,high,scientific_name_to_be_filled_later,イチイ科,Taxaceae,イヌガヤ属,Cephalotaxus,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;針葉;はね状
trait-candidate-0046,カヤ,,イチイ科,Torreya,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,89,needs_review,high,scientific_name_excluded_from_public_candidate,イチイ科,Taxaceae,カヤ属,Torreya,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0047,イチイ,,イチイ科,Taxus,常緑,針葉樹,単葉,,,,入力支援候補。公開前に要確認,90|1,needs_review,high,scientific_name_excluded_from_public_candidate,イチイ科,Taxaceae,イチイ属,Taxus,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
trait-candidate-0049,マツブサ,,マツブサ科,Schisandra,常緑;落葉,広葉樹,単葉,,鋸歯縁,あり,入力支援候補。公開前に要確認,92,needs_review,medium,low_mean_recognition_confidence;scientific_name_to_be_filled_later;family_corrected_by_rule,マツプサ科,Schisandraceae,マツプサ属,Schisandra,,不分裂葉;分裂葉,,,鋸歯,不分裂葉;鋸歯緑・全縁落葉樹,常緑;落葉;不分裂葉;分裂葉;束生;全縁;鋸歯
trait-candidate-0050,チョウセンゴミシ,,マツブサ科,Schisandra,落葉,広葉樹,単葉,,鋸歯縁,あり,入力支援候補。公開前に要確認,93,needs_review,high,scientific_name_to_be_filled_later;family_corrected_by_rule,マツプサ科,Schisandraceae,マツプサ属,Schisandra,,不分裂葉;分裂葉,,,鋸歯,不分裂葉;鋸歯縁;落葉樹,落葉;不分裂葉;分裂葉;鋸歯
trait-candidate-0051,サネカズラ,,マツブサ科,Kadsura,常緑;落葉,広葉樹,単葉,互生,全縁;鋸歯縁,あり,入力支援候補。公開前に要確認,94,needs_review,high,scientific_name_excluded_from_public_candidate;family_corrected_by_rule,マツプサ科,Schisandraceae,サネカズラ属,Kadsura,,不分裂葉;分裂葉,互生,全縁,鋸歯,不分裂葉;不分裂葉 互生;鋸歯線・全縁;常緑樹,常緑;落葉;不分裂葉;分裂葉;互生;全縁;鋸歯
trait-candidate-0052,シキミ,,マツブサ科,Illicium,常緑,広葉樹,単葉,,,,入力支援候補。公開前に要確認,95,needs_review,high,scientific_name_to_be_filled_later;family_corrected_by_rule,マツプサ科,Schisandraceae,シキミ属,Illicium,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;不分裂葉;分裂葉
trait-candidate-0053,センリョウ,,センリョウ科,Sarcandra,常緑,広葉樹,単葉,,鋸歯縁,あり,入力支援候補。公開前に要確認,96,needs_review,high,scientific_name_to_be_filled_later,センリョウ科,Chloranthaceae,センリョウ属,Sarcandra,,不分裂葉;分裂葉,,,鋸歯,不分裂葉;鋸歯縁常緑樹;常緑樹,常緑;不分裂葉;分裂葉;対生;鋸歯
trait-candidate-0054,フウトウカズラ,,コショウ科,Piper,常緑,広葉樹,単葉,,,,入力支援候補。公開前に要確認,97,needs_review,high,scientific_name_excluded_from_public_candidate,コショウ科,Piperaceae,コショウ属,Piper,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;不分裂葉;分裂葉
trait-candidate-0055,オオパウマノスズクサ,,ウマノスズクサ科,Aristolochia,落葉,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,98,needs_review,high,scientific_name_to_be_filled_later,ウマノスズクサ科,Aristolochiaceae,ウマノスズクサ属,Aristolochia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉・分裂葉;不分裂葉・分裂葉互生;互生;全縁落葉樹;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁;深裂
trait-candidate-0056,タイサンボク,,モクレン科,Magnolia,常緑,広葉樹,単葉,,全縁,なし,入力支援候補。公開前に要確認,99,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,,全縁,,不分裂葉;全縁;全縁常緑樹;常緑樹,常緑;不分裂葉;分裂葉;全縁
trait-candidate-0057,ヒメタイサンボク,,モクレン科,Magnolia,常緑,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,100,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉互生;不分裂葉;全縁;常緑樹,常緑;不分裂葉;分裂葉;互生;全縁
trait-candidate-0058,ミヤマガンショウ,,モクレン科,Magnolia,常緑,広葉樹,単葉,,,,入力支援候補。公開前に要確認,101,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;不分裂葉;分裂葉
trait-candidate-0059,オガタマノキ,,モクレン科,Magnolia,常緑,広葉樹,単葉,互生,,,入力支援候補。公開前に要確認,102,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,,,不分裂葉 互生;不分裂葉;全縁常緑樹,常緑;不分裂葉;分裂葉;互生
trait-candidate-0060,コブシ,,モクレン科,Magnolialia,落葉,広葉樹,単葉,互生,,,入力支援候補。公開前に要確認,103,needs_review,medium,low_mean_recognition_confidence;scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolialia,,不分裂葉;分裂葉,互生,,,不分裂葉互生;不分裂葉;一互生全縁;落葉樹,落葉;不分裂葉;分裂葉;互生
trait-candidate-0061,シモクレン,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,104,needs_review,medium,low_mean_recognition_confidence;scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉 互生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
trait-candidate-0062,ハクモクレン,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,105,needs_review,medium,low_mean_recognition_confidence;scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉;不分裂葉互生;全縁落葉樹;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
trait-candidate-0063,タムシバ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,106,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉 互生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
trait-candidate-0064,シデコブシ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,,,入力支援候補。公開前に要確認,107,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,,,不分裂葉;互生;落葉樹,落葉;不分裂葉;分裂葉;互生
trait-candidate-0065,オオヤマレンゲ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,108,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉互生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
trait-candidate-0066,ホオノキ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,,,入力支援候補。公開前に要確認,109,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,,,不分裂葉;一互生全縁;落葉樹,落葉;掌状複葉;不分裂葉;分裂葉;単葉;複葉;互生;鋸歯
trait-candidate-0067,ユリノキ,,モクレン科,Liriodendron,落葉,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,110,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,ユリノキ属,Liriodendron,,分裂葉,互生,全縁,,分裂葉互生 互生 二;全縁;落葉樹,落葉;分裂葉;互生;全縁;切れ込み;浅裂;深裂
trait-candidate-0068,ポポー,,バンレイシ科,Asimina,落葉,広葉樹,単葉,,,,入力支援候補。公開前に要確認,111,needs_review,high,scientific_name_excluded_from_public_candidate,バンレイシ科,Annonaceae,ポポー属,Asimina,,不分裂葉;分裂葉,,,,不分裂葉;全縁落葉樹;落葉樹,落葉;不分裂葉;分裂葉
trait-candidate-0069,ロウバイ,,ロウバイ科,Chimonanthus,落葉,広葉樹,単葉,対生,全縁,なし,入力支援候補。公開前に要確認,112,needs_review,high,scientific_name_excluded_from_public_candidate,ロウバイ科,Calycanthaceae,ロウバイ属,Chimonanthus,,不分裂葉;分裂葉,対生,全縁,,不分裂葉対生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;対生;全縁
trait-candidate-0070,クロバナロウバイ,,ロウバイ科,Calycanthus,落葉,広葉樹,単葉,対生,全縁,なし,入力支援候補。公開前に要確認,113,needs_review,high,scientific_name_excluded_from_public_candidate;family_corrected_by_rule,ロウパイ科,Calycanthaceae,クロパナロウパイ属,Calycanthus,,不分裂葉;分裂葉,対生,全縁,,"不分裂葉;""対生全縁;落葉樹",落葉;不分裂葉;分裂葉;対生;全縁
trait-candidate-0071,シロダモ,,クスノキ科,Neolitsea,常緑,広葉樹,単葉,,全縁,なし,入力支援候補。公開前に要確認,114,needs_review,high,scientific_name_excluded_from_public_candidate,クスノキ科,Lauraceae,シロダモ属,Neolitsea,,不分裂葉;分裂葉,,全縁,,不分裂葉;全縁;常緑樹,常緑;不分裂葉;分裂葉;全縁
trait-candidate-0072,イヌガシ,,クスノキ科,Neolitsea,常緑,広葉樹,単葉,,,,入力支援候補。公開前に要確認,115,needs_review,high,scientific_name_excluded_from_public_candidate,クスノキ科,Lauraceae,シロダモ属,Neolitsea,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;不分裂葉;分裂葉
trait-candidate-0073,ヤブニッケイ,,クスノキ科,Cinnamomum,常緑,広葉樹,単葉,互生;対生,全縁,なし,入力支援候補。公開前に要確認,116,needs_review,high,scientific_name_excluded_from_public_candidate,クスノキ科,Lauraceae,クスノキ属,Cinnamomum,,不分裂葉;分裂葉,互生;対生,全縁,,不分裂葉互生・対生;不分裂葉;互生・対生;全縁 常緑樹;全縁;常緑樹,常緑;不分裂葉;分裂葉;互生;対生;全縁
trait-candidate-0074,ニッケイ,,クスノキ科,Cinnamomum,常緑,広葉樹,単葉,互生;対生,全縁,なし,入力支援候補。公開前に要確認,117,needs_review,high,scientific_name_excluded_from_public_candidate,クスノキ科,Lauraceae,クスノキ属,Cinnamomum,,不分裂葉;分裂葉,互生;対生,全縁,,不分裂葉互生・対生全四;不分裂葉;互生・対生;全縁;常緑樹,常緑;不分裂葉;分裂葉;互生;対生;全縁
trait-candidate-0075,クスノキ,,クスノキ科,Cinnamomum,常緑,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,118,needs_review,medium,low_mean_recognition_confidence;scientific_name_excluded_from_public_candidate,クスノキ科,Lauraceae,クスノキ属,Cinnamomum,,不分裂葉;分裂葉,互生,全縁,,不分裂葉 互生;不分裂葉;全縁;常緑樹,常緑;広葉;不分裂葉;分裂葉;互生;全縁
trait-candidate-0076,タブノキ,,クスノキ科,Machilus,常緑,広葉樹,単葉,,,,入力支援候補。公開前に要確認,119,needs_review,high,scientific_name_excluded_from_public_candidate,クスノキ科,Lauraceae,タブノキ属,Machilus,,不分裂葉;分裂葉,,,,不分裂葉;全縁常緑樹;常緑樹,常緑;不分裂葉;分裂葉
trait-candidate-0077,ホンパタブ,,クスノキ科,Machilus,常緑,広葉樹,単葉,互生,全縁,なし,入力支援候補。公開前に要確認,120,needs_review,high,scientific_name_excluded_from_public_candidate,クスノキ科,Lauraceae,タブノキ属,Machilus,,不分裂葉;分裂葉,互生,全縁,,不分裂葉 互生;不分裂葉;全縁;常緑樹,常緑;不分裂葉;分裂葉;互生;全縁
