id,ja_name,scientific_name,family,genus,leaf_persistence,leaf_type,leaf_complexity,leaf_arrangement,leaf_margin,serration,source_note,source_page,review_status,review_confidence,needs_review_reason,family_ja_ocr,family_latin_ocr,genus_ja_ocr,genus_latin_ocr,leaf_type_ocr,leaf_complexity_ocr,leaf_arrangement_ocr,leaf_margin_ocr,serration_ocr,trait_label_texts_ocr,trait_terms_detected_all_text
hayashi-2019-s035-l,ヒノキ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.68 OCR候補。公開前に要確認,68,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉;対生
hayashi-2019-s035-r,チャボヒバ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.69 OCR候補。公開前に要確認,69,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
hayashi-2019-s036-l,サワラ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.70 OCR候補。公開前に要確認,70,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
hayashi-2019-s036-r,オウゴンヒヨクヒバ,,ヒノキ科,Chamaecyparis,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.71 OCR候補。公開前に要確認,71,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ヒノキ属,Chamaecyparis,針状葉;鱗状葉,,,,,鱗状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
hayashi-2019-s037-l,クロベ,,ヒノキ科,Thuja,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.72 OCR候補。公開前に要確認,72,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,クロベ属,Thuja,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
hayashi-2019-s037-r,ニオイヒバ,,ヒノキ科,Thuja,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.7|73 OCR候補。公開前に要確認,7|73,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,クロベ属,Thuja,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
hayashi-2019-s038-l,コノテガシワ,,ヒノキ科,Platycladus,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.74 OCR候補。公開前に要確認,74,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,コノテガシワ属,Platycladus,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
hayashi-2019-s038-r,アスナロ,,ヒノキ科,Thujopsis/Cupressocyparis,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.75 OCR候補。公開前に要確認,75,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,アスナロ属,Thujopsis/Cupressocyparis,鱗状葉,,,,,鱗状葉;常緑樹,常緑;鱗状葉
hayashi-2019-s039-l,ホソイトスギ,,ヒノキ科,Cupressus,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.76 OCR候補。公開前に要確認,76,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,イトスギ属,Cupressus,針状葉,,,,,鯛状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
hayashi-2019-s039-r,モントレーイトスギ,,ヒノキ科,Cupressus/Juniperus,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.77 OCR候補。公開前に要確認,77,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,イトスギ属,Cupressus/Juniperus,針状葉;鱗状葉,,,,,鱗状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
hayashi-2019-s040-l,ビャクシン,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.78 OCR候補。公開前に要確認,78,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ビャクシン属,Juniperus,針状葉,,,,,鯛状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉;対生;輪生
hayashi-2019-s040-r,カイヅカイブキ,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.79 OCR候補。公開前に要確認,79,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉;鱗状葉,,,,,鱗状葉・針状葉;常緑樹,常緑;針状葉;鱗状葉
hayashi-2019-s041-l,ハイネズ,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.80 OCR候補。公開前に要確認,80,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉,,束状,,,針状葉;束状;常緑樹,常緑;針状葉;対生;輪生;束状
hayashi-2019-s041-r,ニイタカビャクシン,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.81 OCR候補。公開前に要確認,81,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉,,束状,,,針状葉;束状;常緑樹,常緑;針状葉;輪生;束状
hayashi-2019-s042-l,ネズミサシ,,ヒノキ科,Juniperus,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.82 OCR候補。公開前に要確認,82,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ピャクシン属,Juniperus,針状葉,,束状,,,針状葉 束状;針状葉;束状;常緑樹,常緑;針状葉;針葉;輪生;束状
hayashi-2019-s042-r,スギ,,ヒノキ科,Cryptomeria,常緑,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.83 OCR候補。公開前に要確認,83,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,スギ属,Cryptomeria,針状葉,,束状,,,針状葉;針状葉束状;束状;常緑樹,常緑;針状葉;束状
hayashi-2019-s043-l,センペルセコイア,,ヒノキ科,Sequoia/Cunninghamia,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.84 OCR候補。公開前に要確認,84,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,セコイア属,Sequoia/Cunninghamia,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;広葉;互生;はね状;鋸歯
hayashi-2019-s043-r,メタセコイア,,ヒノキ科,Metasequoia,落葉,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.85 OCR候補。公開前に要確認,85,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,メタセコイア属,Metasequoia,針状葉,,はね状,,,針状葉;はね状;落葉樹,落葉;針状葉;針葉;互生;対生;はね状
hayashi-2019-s044-l,ラクウショウ,,ヒノキ科,Taxodium,落葉,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.86 OCR候補。公開前に要確認,86,needs_review,high,scientific_name_excluded_from_public_candidate,ヒノキ科,Cupressaceae,ラクウショウ属,Taxodium,針状葉,,はね状,,,針状葉;はね状;落葉樹,落葉;針状葉;互生;はね状
hayashi-2019-s044-r,スイショウ,,イチイ科,Glyptostrobus/Taxaceae,,針葉樹,単葉,束生,,,林将之 (2019)『樹木の葉』 p.87 OCR候補。公開前に要確認,87,needs_review,high,scientific_name_to_be_filled_later,イチイ科,Taxaceae,スイショウ属,Glyptostrobus/Taxaceae,針状葉,,束状,,,針状葉;束状,針状葉;鱗状葉;互生;束状;はね状
hayashi-2019-s045-l,イヌガヤ,,イチイ科,Cephalotaxus,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.88 OCR候補。公開前に要確認,88,needs_review,high,scientific_name_to_be_filled_later,イチイ科,Taxaceae,イヌガヤ属,Cephalotaxus,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;針葉;はね状
hayashi-2019-s045-r,カヤ,,イチイ科,Torreya,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.89 OCR候補。公開前に要確認,89,needs_review,high,scientific_name_excluded_from_public_candidate,イチイ科,Taxaceae,カヤ属,Torreya,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s046-l,イチイ,,イチイ科,Taxus,常緑,針葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.90|1 OCR候補。公開前に要確認,90|1,needs_review,high,scientific_name_excluded_from_public_candidate,イチイ科,Taxaceae,イチイ属,Taxus,針状葉,,はね状,,,針状葉;はね状;常緑樹,常緑;針状葉;はね状
hayashi-2019-s047-l,マツブサ,,マツブサ科,Schisandra,常緑;落葉,広葉樹,単葉,,鋸歯縁,あり,林将之 (2019)『樹木の葉』 p.92 OCR候補。公開前に要確認,92,needs_review,medium,low_mean_ocr_confidence;scientific_name_to_be_filled_later;family_corrected_by_rule,マツプサ科,Schisandraceae,マツプサ属,Schisandra,,不分裂葉;分裂葉,,,鋸歯,不分裂葉;鋸歯緑・全縁落葉樹,常緑;落葉;不分裂葉;分裂葉;束生;全縁;鋸歯
hayashi-2019-s047-r,チョウセンゴミシ,,マツブサ科,Schisandra,落葉,広葉樹,単葉,,鋸歯縁,あり,林将之 (2019)『樹木の葉』 p.93 OCR候補。公開前に要確認,93,needs_review,high,scientific_name_to_be_filled_later;family_corrected_by_rule,マツプサ科,Schisandraceae,マツプサ属,Schisandra,,不分裂葉;分裂葉,,,鋸歯,不分裂葉;鋸歯縁;落葉樹,落葉;不分裂葉;分裂葉;鋸歯
hayashi-2019-s048-l,サネカズラ,,マツブサ科,Kadsura,常緑;落葉,広葉樹,単葉,互生,全縁;鋸歯縁,あり,林将之 (2019)『樹木の葉』 p.94 OCR候補。公開前に要確認,94,needs_review,high,scientific_name_excluded_from_public_candidate;family_corrected_by_rule,マツプサ科,Schisandraceae,サネカズラ属,Kadsura,,不分裂葉;分裂葉,互生,全縁,鋸歯,不分裂葉;不分裂葉 互生;鋸歯線・全縁;常緑樹,常緑;落葉;不分裂葉;分裂葉;互生;全縁;鋸歯
hayashi-2019-s048-r,シキミ,,マツブサ科,Illicium,常緑,広葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.95 OCR候補。公開前に要確認,95,needs_review,high,scientific_name_to_be_filled_later;family_corrected_by_rule,マツプサ科,Schisandraceae,シキミ属,Illicium,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;不分裂葉;分裂葉
hayashi-2019-s049-l,センリョウ,,センリョウ科,Sarcandra,常緑,広葉樹,単葉,,鋸歯縁,あり,林将之 (2019)『樹木の葉』 p.96 OCR候補。公開前に要確認,96,needs_review,high,scientific_name_to_be_filled_later,センリョウ科,Chloranthaceae,センリョウ属,Sarcandra,,不分裂葉;分裂葉,,,鋸歯,不分裂葉;鋸歯縁常緑樹;常緑樹,常緑;不分裂葉;分裂葉;対生;鋸歯
hayashi-2019-s049-r,フウトウカズラ,,コショウ科,Piper,常緑,広葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.97 OCR候補。公開前に要確認,97,needs_review,high,scientific_name_excluded_from_public_candidate,コショウ科,Piperaceae,コショウ属,Piper,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;不分裂葉;分裂葉
hayashi-2019-s050-l,オオパウマノスズクサ,,ウマノスズクサ科,Aristolochia,落葉,広葉樹,単葉,互生,全縁,なし,林将之 (2019)『樹木の葉』 p.98 OCR候補。公開前に要確認,98,needs_review,high,scientific_name_to_be_filled_later,ウマノスズクサ科,Aristolochiaceae,ウマノスズクサ属,Aristolochia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉・分裂葉;不分裂葉・分裂葉互生;互生;全縁落葉樹;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁;深裂
hayashi-2019-s050-r,タイサンボク,,モクレン科,Magnolia,常緑,広葉樹,単葉,,全縁,なし,林将之 (2019)『樹木の葉』 p.99 OCR候補。公開前に要確認,99,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,,全縁,,不分裂葉;全縁;全縁常緑樹;常緑樹,常緑;不分裂葉;分裂葉;全縁
hayashi-2019-s051-l,ヒメタイサンボク,,モクレン科,Magnolia,常緑,広葉樹,単葉,互生,全縁,なし,林将之 (2019)『樹木の葉』 p.100 OCR候補。公開前に要確認,100,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉互生;不分裂葉;全縁;常緑樹,常緑;不分裂葉;分裂葉;互生;全縁
hayashi-2019-s051-r,ミヤマガンショウ,,モクレン科,Magnolia,常緑,広葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.101 OCR候補。公開前に要確認,101,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,,,,不分裂葉;常緑樹,常緑;不分裂葉;分裂葉
hayashi-2019-s052-l,オガタマノキ,,モクレン科,Magnolia,常緑,広葉樹,単葉,互生,,,林将之 (2019)『樹木の葉』 p.102 OCR候補。公開前に要確認,102,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,,,不分裂葉 互生;不分裂葉;全縁常緑樹,常緑;不分裂葉;分裂葉;互生
hayashi-2019-s052-r,コブシ,,モクレン科,Magnolialia,落葉,広葉樹,単葉,互生,,,林将之 (2019)『樹木の葉』 p.103 OCR候補。公開前に要確認,103,needs_review,medium,low_mean_ocr_confidence;scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolialia,,不分裂葉;分裂葉,互生,,,不分裂葉互生;不分裂葉;一互生全縁;落葉樹,落葉;不分裂葉;分裂葉;互生
hayashi-2019-s053-l,シモクレン,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,林将之 (2019)『樹木の葉』 p.104 OCR候補。公開前に要確認,104,needs_review,medium,low_mean_ocr_confidence;scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉 互生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
hayashi-2019-s053-r,ハクモクレン,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,林将之 (2019)『樹木の葉』 p.105 OCR候補。公開前に要確認,105,needs_review,medium,low_mean_ocr_confidence;scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉;不分裂葉互生;全縁落葉樹;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
hayashi-2019-s054-l,タムシバ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,林将之 (2019)『樹木の葉』 p.106 OCR候補。公開前に要確認,106,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉 互生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
hayashi-2019-s054-r,シデコブシ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,,,林将之 (2019)『樹木の葉』 p.107 OCR候補。公開前に要確認,107,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,,,不分裂葉;互生;落葉樹,落葉;不分裂葉;分裂葉;互生
hayashi-2019-s055-l,オオヤマレンゲ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,全縁,なし,林将之 (2019)『樹木の葉』 p.108 OCR候補。公開前に要確認,108,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,全縁,,不分裂葉互生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;互生;全縁
hayashi-2019-s055-r,ホオノキ,,モクレン科,Magnolia,落葉,広葉樹,単葉,互生,,,林将之 (2019)『樹木の葉』 p.109 OCR候補。公開前に要確認,109,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,モクレン属,Magnolia,,不分裂葉;分裂葉,互生,,,不分裂葉;一互生全縁;落葉樹,落葉;掌状複葉;不分裂葉;分裂葉;単葉;複葉;互生;鋸歯
hayashi-2019-s056-l,ユリノキ,,モクレン科,Liriodendron,落葉,広葉樹,単葉,互生,全縁,なし,林将之 (2019)『樹木の葉』 p.110 OCR候補。公開前に要確認,110,needs_review,high,scientific_name_excluded_from_public_candidate,モクレン科,Magnoliaceae,ユリノキ属,Liriodendron,,分裂葉,互生,全縁,,分裂葉互生 互生 二;全縁;落葉樹,落葉;分裂葉;互生;全縁;切れ込み;浅裂;深裂
hayashi-2019-s056-r,ポポー,,バンレイシ科,Asimina,落葉,広葉樹,単葉,,,,林将之 (2019)『樹木の葉』 p.111 OCR候補。公開前に要確認,111,needs_review,high,scientific_name_excluded_from_public_candidate,バンレイシ科,Annonaceae,ポポー属,Asimina,,不分裂葉;分裂葉,,,,不分裂葉;全縁落葉樹;落葉樹,落葉;不分裂葉;分裂葉
hayashi-2019-s057-l,ロウバイ,,ロウバイ科,Chimonanthus,落葉,広葉樹,単葉,対生,全縁,なし,林将之 (2019)『樹木の葉』 p.112 OCR候補。公開前に要確認,112,needs_review,high,scientific_name_excluded_from_public_candidate,ロウバイ科,Calycanthaceae,ロウバイ属,Chimonanthus,,不分裂葉;分裂葉,対生,全縁,,不分裂葉対生;不分裂葉;全縁;落葉樹,落葉;不分裂葉;分裂葉;対生;全縁
